concept_a,concept_b,label
Network security,Algorithm,1
Software engineering,Algorithm,1
Information retrieval,Data structure,1
Computer vision,Algorithm,1
Distributed object,Object-oriented design,1
Information management,Artificial intelligence,1
Object-oriented programming,Data structure,1
Software engineering,Database,1
Information management,Information retrieval,1
Computer security,Computer network,1
Information management,Data mining,1
Algorithm,Discrete mathematics,1
Combinatorial optimization,Algorithm,1
System programming,Microarchitecture,1
Translator (computing),Discrete mathematics,1
Natural language processing,Algorithm,1
Parallel processing,Algorithm,1
Software quality management,Software engineering,1
Software engineering,Data structure,1
Distributed computing,Operating system,1
Programming language,Algorithm,1
System programming,Data structure,1
Software project management,Software engineering,1
Computer architecture,Microarchitecture,1
Software development,Software engineering,1
System programming,Assembly language,1
Mobile application development,System programming,1
Social network analysis,Algorithm,1
Algorithm design,Algorithm,1
Theory of computation,Algorithm,1
Artificial intelligence,Algorithm,1
Database,Algorithm,1
Computer security,Operating system,1
Parallel processing,Operating system,1
Computer-aided software engineering,Software engineering,1
Parallel computing,System programming,1
Data mining,Data structure,1
Distributed computing,Algorithm,1
Translator (computing),Algorithm,1
Computer graphics,Data structure,1
Wireless network,Assembly language,1
Compiler construction,Programming language,1
Test automation,Software engineering,1
Knowledge management,Artificial intelligence,1
Computer network,Operating system,1
Wireless network,Microarchitecture,1
Database,Data structure,1
Network service,Computer network,1
Object-oriented analysis and design,Software engineering,1
Data warehouse,Database,1
Data integration,Database,1
Cloud computing,Computer network,1
Software metric,Software engineering,1
Game theory,Theory of computation,1
Information retrieval,Algorithm,1
Software architecture,Software engineering,1
Computer architecture,Assembly language,1
Software analytics,Software engineering,1
Artificial intelligence,Data structure,1
Modeling language,Object-oriented programming,1
Algorithm,Data structure,1
Knowledge management,Information retrieval,1
Operating system,System programming,1
Object-oriented design,Data structure,1
Analysis of algorithms,Algorithm,1
Cloud computing,Operating system,1
Programming language,Translator (computing),1
Information security,Operating system,1
Translator (computing),Data structure,1
Object-oriented analysis and design,Object-oriented programming,1
Knowledge management,Database,1
Computer architecture,Operating system,1
System programming,Algorithm,1
Computer security,Information security,1
Graphical model,Artificial intelligence,1
Knowledge management,Data mining,1
Software testing,Software engineering,1
Mobile application development,Data structure,1
Modeling language,Software engineering,1
Software development,Object-oriented programming,1
Object-oriented analysis and design,Object-oriented design,1
Modeling language,Object-oriented design,1
Compiler construction,Translator (computing),1
Object-oriented design,Algorithm,1
Robotics,Algorithm,1
Data-intensive computing,Operating system,1
Information security,Database,1
Distributed object,Object-oriented programming,1
Mobile application development,Algorithm,1
Computational geometry,Algorithm,1
Broadband networks,Computer network,1
Internet protocol suite,Computer network,1
Wireless network,Computer network,1
Programming language,Discrete mathematics,1
Object-oriented programming,Algorithm,1
Distributed computing,System programming,1
Data mining,Algorithm,1
Game theory,Algorithm,1
Parallel computing,Operating system,1
Cryptography,Algorithm,1
Computational linguistics,Natural language processing,1
Software development,Object-oriented design,1
Machine learning,Algorithm,1
Information management,Database,1
Computer graphics,Algorithm,1
Object-oriented design,Object-oriented programming,1
Programming language,Data structure,1
Theory of computation,Object-oriented programming,0
Software project management,Translator (computing),0
Translator (computing),Data warehouse,0
Distributed computing,Compiler construction,0
Translator (computing),Parallel computing,0
Broadband networks,Test automation,0
Machine learning,Software analytics,0
Software engineering,Natural language processing,0
Computer security,Translator (computing),0
Distributed object,Algorithm,0
Algorithm design,Knowledge management,0
Software project management,Data-intensive computing,0
Algorithm design,Computer architecture,0
Algorithm,Robotics,0
Computer-aided software engineering,Computer network,0
Computational geometry,Information security,0
Discrete mathematics,Computer network,0
Algorithm design,Computer graphics,0
Distributed object,Knowledge management,0
Object-oriented analysis and design,Operating system,0
Computer network,Data integration,0
Software testing,Computer network,0
Algorithm design,Object-oriented analysis and design,0
Internet protocol suite,Network service,0
Compiler construction,Machine learning,0
Object-oriented analysis and design,Computer graphics,0
Parallel computing,Data integration,0
Knowledge management,Software development,0
Assembly language,Object-oriented analysis and design,0
Microarchitecture,Wireless network,0
Software metric,Discrete mathematics,0
Cryptography,Computational linguistics,0
Artificial intelligence,Distributed object,0
Data-intensive computing,Software metric,0
Modeling language,Data warehouse,0
Graphical model,Database,0
Cryptography,Information retrieval,0
Test automation,Data-intensive computing,0
Data integration,Software quality management,0
Discrete mathematics,Translator (computing),0
Software engineering,Microarchitecture,0
System programming,Parallel processing,0
Computer security,Network security,0
Algorithm,Compiler construction,0
Theory of computation,Software analytics,0
Computer security,Theory of computation,0
Software quality management,Computer graphics,0
Software development,Software quality management,0
Machine learning,Software quality management,0
Translator (computing),Mobile application development,0
Computational geometry,Computer architecture,0
Software project management,Modeling language,0
Knowledge management,Software engineering,0
Wireless network,Operating system,0
Computational geometry,Computational linguistics,0
Microarchitecture,Object-oriented programming,0
Computer security,Object-oriented programming,0
Translator (computing),Theory of computation,0
Distributed object,Software engineering,0
Analysis of algorithms,Software quality management,0
Database,Computer vision,0
Software project management,Cloud computing,0
Computer vision,Internet protocol suite,0
Distributed object,Software quality management,0
Algorithm design,Information management,0
Combinatorial optimization,Object-oriented analysis and design,0
Modeling language,Information management,0
Wireless network,Computational linguistics,0
Computer-aided software engineering,Graphical model,0
Microarchitecture,Computer security,0
Assembly language,Information management,0
Mobile application development,Combinatorial optimization,0
Cloud computing,Natural language processing,0
Parallel computing,Computer security,0
Cloud computing,Software analytics,0
Discrete mathematics,Software metric,0
Software analytics,Data-intensive computing,0
Software quality management,Social network analysis,0
Parallel processing,Computer security,0
Computer-aided software engineering,Software analytics,0
Wireless network,Computer-aided software engineering,0
Algorithm,Knowledge management,0
Information management,Software project management,0
Software metric,Data integration,0
Software testing,Theory of computation,0
Computational linguistics,Data warehouse,0
Translator (computing),Parallel processing,0
Artificial intelligence,Test automation,0
Software quality management,Programming language,0
Assembly language,Software analytics,0
Assembly language,Knowledge management,0
Algorithm design,Graphical model,0
Software development,Combinatorial optimization,0
Machine learning,Software project management,0
Software architecture,Discrete mathematics,0
Software architecture,Algorithm,0
Artificial intelligence,Software quality management,0
Theory of computation,Compiler construction,0
Machine learning,Information security,0
Data warehouse,Information retrieval,0
Computer architecture,Object-oriented design,0
Database,Software quality management,0
Robotics,Software architecture,0
Network security,Software project management,0
Internet protocol suite,Software metric,0
Knowledge management,Robotics,0
Broadband networks,Information management,0
Operating system,Artificial intelligence,0
Broadband networks,Microarchitecture,0
Wireless network,Test automation,0
Software architecture,System programming,0
Information management,Computer architecture,0
Software quality management,Game theory,0
Software development,Software metric,0
Wireless network,Software quality management,0
Object-oriented programming,Software metric,0
Computer network,Machine learning,0
Computer graphics,Cloud computing,0
Parallel computing,Machine learning,0
Algorithm design,Information retrieval,0
Test automation,Natural language processing,0
Information management,Network security,0
Parallel computing,Object-oriented analysis and design,0
Test automation,Data mining,0
Modeling language,Natural language processing,0
System programming,Computer security,0
Parallel computing,Computational geometry,0
Information security,Software metric,0
Object-oriented design,Combinatorial optimization,0
Combinatorial optimization,System programming,0
Test automation,Mobile application development,0
Mobile application development,Data warehouse,0
Discrete mathematics,Software testing,0
Natural language processing,Computational geometry,0
Algorithm design,Cryptography,0
Distributed object,Cloud computing,0
Software testing,Distributed object,0
Natural language processing,Parallel computing,0
Computer network,Distributed object,0
System programming,Game theory,0
Data integration,Algorithm design,0
Computational geometry,Computer vision,0
Information retrieval,Data warehouse,0
Software analytics,Broadband networks,0
Software quality management,Data integration,0
Computer-aided software engineering,Data warehouse,0
Distributed object,Software development,0
Software development,Theory of computation,0
Mobile application development,Operating system,0
Theory of computation,Computer graphics,0
Discrete mathematics,Modeling language,0
Modeling language,Cloud computing,0
Computer security,Social network analysis,0
Database,Computer security,0
Cloud computing,Social network analysis,0
Broadband networks,Data-intensive computing,0
Broadband networks,Software analytics,0
Information retrieval,Assembly language,0
Algorithm design,Social network analysis,0
Algorithm,Artificial intelligence,0
Software project management,Network service,0
Discrete mathematics,Cryptography,0
Computer vision,Robotics,0
Software metric,Computational geometry,0
Broadband networks,Knowledge management,0
Software development,Machine learning,0
Assembly language,Software development,0
Software quality management,Cloud computing,0
Software engineering,Data mining,0
Artificial intelligence,Data integration,0
Theory of computation,Cryptography,0
Combinatorial optimization,Software quality management,0
Combinatorial optimization,Network service,0
Algorithm,Operating system,0
Data integration,Network service,0
Cryptography,Analysis of algorithms,0
Knowledge management,Analysis of algorithms,0
Machine learning,Programming language,0
Discrete mathematics,System programming,0
Test automation,Graphical model,0
Data mining,Internet protocol suite,0
Parallel computing,Computer network,0
Data warehouse,Software project management,0
Assembly language,Mobile application development,0
Software quality management,Software analytics,0
Information retrieval,Broadband networks,0
Cryptography,Computer-aided software engineering,0
Robotics,Modeling language,0
Artificial intelligence,Translator (computing),0
Software metric,Information management,0
Software testing,Network service,0
Operating system,Cryptography,0
Software quality management,Object-oriented design,0
Software analytics,Game theory,0
Robotics,Computational linguistics,0
Data warehouse,Robotics,0
Computational linguistics,Cryptography,0
Software architecture,Software quality management,0
Network service,Computer security,0
Data-intensive computing,Mobile application development,0
Broadband networks,Object-oriented design,0
Compiler construction,Data integration,0
Machine learning,Internet protocol suite,0
Software engineering,Software metric,0
Test automation,Object-oriented analysis and design,0
System programming,Distributed object,0
Computer vision,Software architecture,0
Computational geometry,Social network analysis,0
Information management,Software development,0
Social network analysis,Computational linguistics,0
Computational geometry,Database,0
Information retrieval,Operating system,0
Software architecture,Data-intensive computing,0
Test automation,Broadband networks,0
Analysis of algorithms,Distributed computing,0
Software engineering,System programming,0
Theory of computation,Distributed computing,0
Software testing,Computer vision,0
Translator (computing),Game theory,0
Distributed object,Discrete mathematics,0
Software architecture,Information retrieval,0
Distributed object,Network service,0
Machine learning,Knowledge management,0
Software analytics,Computer security,0
Social network analysis,Software metric,0
Computer architecture,Information retrieval,0
Computer graphics,Cryptography,0
System programming,Software testing,0
Game theory,Data warehouse,0
Object-oriented analysis and design,Assembly language,0
Graphical model,Assembly language,0
Software project management,Computer vision,0
Distributed object,Data warehouse,0
Game theory,Software project management,0
Combinatorial optimization,Data-intensive computing,0
Assembly language,Software quality management,0
Computer-aided software engineering,Operating system,0
Database,Software analytics,0
Information retrieval,Software testing,0
Computer network,Data warehouse,0
Object-oriented programming,Mobile application development,0
Software engineering,Software analytics,0
Software architecture,Graphical model,0
Information retrieval,Computational linguistics,0
Software quality management,Algorithm,0
Computer vision,Software quality management,0
Assembly language,Translator (computing),0
Computational geometry,Data mining,0
Software development,Computational geometry,0
Game theory,Computational linguistics,0
Wireless network,Theory of computation,0
Object-oriented programming,Software testing,0
Assembly language,Computational linguistics,0
Compiler construction,Combinatorial optimization,0
Wireless network,Mobile application development,0
Object-oriented design,Test automation,0
Microarchitecture,Theory of computation,0
Algorithm design,Parallel computing,0
Compiler construction,Information security,0
System programming,Combinatorial optimization,0
Software analytics,Knowledge management,0
Broadband networks,Machine learning,0
Data-intensive computing,Translator (computing),0
Algorithm,Machine learning,0
Information retrieval,Software project management,0
Software engineering,Software testing,0
Computer-aided software engineering,Information security,0
Translator (computing),Computer graphics,0
Network security,Software analytics,0
Computer graphics,Computer security,0
Computer security,Distributed object,0
Distributed object,Software testing,0
Discrete mathematics,Combinatorial optimization,0
Information management,Data integration,0
Distributed computing,Robotics,0
Distributed computing,Combinatorial optimization,0
Cryptography,Object-oriented design,0
Data structure,Information management,0
Social network analysis,Software development,0
System programming,Cloud computing,0
Internet protocol suite,Microarchitecture,0
Object-oriented programming,Knowledge management,0
Computer-aided software engineering,Translator (computing),0
Data structure,Internet protocol suite,0
System programming,Distributed computing,0
Knowledge management,Network service,0
Database,Combinatorial optimization,0
Parallel processing,Computational geometry,0
Software analytics,Database,0
Distributed computing,Discrete mathematics,0
Artificial intelligence,Cloud computing,0
Operating system,Software development,0
Object-oriented design,Computer graphics,0
Analysis of algorithms,Computer graphics,0
Modeling language,Computer-aided software engineering,0
Theory of computation,Software quality management,0
Operating system,Data warehouse,0
Modeling language,Broadband networks,0
Computer security,Software testing,0
Computational linguistics,Computer network,0
Discrete mathematics,Computational geometry,0
Software quality management,Network service,0
Game theory,Software quality management,0
Internet protocol suite,Graphical model,0
System programming,Theory of computation,0
Object-oriented programming,Computer graphics,0
Game theory,Object-oriented analysis and design,0
Robotics,Software metric,0
Natural language processing,Data mining,0
Analysis of algorithms,Network service,0
Software project management,Theory of computation,0
Data-intensive computing,Computer vision,0
Network service,Computational geometry,0
Operating system,Microarchitecture,0
Data-intensive computing,Compiler construction,0
Distributed object,Assembly language,0
Programming language,Information retrieval,0
Broadband networks,Operating system,0
Data mining,Test automation,0
Data structure,Software quality management,0
Compiler construction,Data warehouse,0
Game theory,Data integration,0
Microarchitecture,Combinatorial optimization,0
Computational linguistics,Computer vision,0
Information retrieval,Wireless network,0
Parallel computing,Database,0
Software quality management,Artificial intelligence,0
Software project management,Wireless network,0
Distributed object,Internet protocol suite,0
Modeling language,Computer vision,0
Algorithm design,Software engineering,0
Assembly language,Operating system,0
Algorithm design,Software quality management,0
Computer security,Artificial intelligence,0
Network security,Data mining,0
Computer architecture,Graphical model,0
System programming,Information retrieval,0
Data integration,Combinatorial optimization,0
Wireless network,Network security,0
Algorithm,Data warehouse,0
Computational geometry,Mobile application development,0
Distributed computing,Machine learning,0
Network service,Software engineering,0
Network service,Object-oriented design,0
Internet protocol suite,Modeling language,0
Programming language,Theory of computation,0
Natural language processing,Cryptography,0
Cryptography,Parallel computing,0
Object-oriented programming,Microarchitecture,0
Algorithm,Parallel processing,0
Robotics,Natural language processing,0
Software testing,Software quality management,0
Microarchitecture,Software architecture,0
Computer security,Internet protocol suite,0
Software analytics,Theory of computation,0
Computer security,Computational geometry,0
Combinatorial optimization,Information management,0
Software quality management,Computer vision,0
Computer graphics,Network service,0
Internet protocol suite,Software quality management,0
Robotics,Analysis of algorithms,0
Test automation,Information security,0
Programming language,Computer security,0
Assembly language,Parallel processing,0
Data structure,Combinatorial optimization,0
System programming,Graphical model,0
Parallel computing,Translator (computing),0
Data-intensive computing,Parallel computing,0
Robotics,Software quality management,0
Parallel processing,Combinatorial optimization,0
Software metric,Robotics,0
Assembly language,Computer network,0
Information retrieval,Translator (computing),0
Software engineering,Machine learning,0
Object-oriented design,Computer architecture,0
Data mining,Data integration,0
Data-intensive computing,Algorithm design,0
Software metric,Assembly language,0
Computer graphics,Computer network,0
Computational geometry,Combinatorial optimization,0
Wireless network,Software testing,0
Software architecture,Information management,0
Software metric,Computer graphics,0
Software quality management,System programming,0
Computational linguistics,Object-oriented design,0
Translator (computing),Modeling language,0
Network security,Software quality management,0
Computer architecture,Cryptography,0
Artificial intelligence,System programming,0
Artificial intelligence,Analysis of algorithms,0
Distributed computing,Computer graphics,0
Software project management,Microarchitecture,0
Graphical model,Translator (computing),0
Analysis of algorithms,Artificial intelligence,0
Assembly language,Computer architecture,0
Robotics,Computer-aided software engineering,0
Programming language,Parallel processing,0
Software analytics,Programming language,0
Natural language processing,Wireless network,0
Robotics,Software engineering,0
Network security,Broadband networks,0
Algorithm,Graphical model,0
Artificial intelligence,Cryptography,0
Programming language,Data-intensive computing,0
Cryptography,Software analytics,0
Object-oriented design,Network security,0
Software metric,Data-intensive computing,0
Graphical model,Cloud computing,0
Software testing,Analysis of algorithms,0
Distributed computing,Theory of computation,0
Distributed object,Software architecture,0
Cryptography,Broadband networks,0
Software engineering,Computer security,0
Compiler construction,Test automation,0
Information retrieval,Compiler construction,0
Operating system,Computational geometry,0
Knowledge management,Test automation,0
Operating system,Internet protocol suite,0
Knowledge management,Microarchitecture,0
Data mining,Object-oriented programming,0
Knowledge management,Parallel processing,0
Parallel processing,Mobile application development,0
Software engineering,Computer graphics,0
Compiler construction,Software quality management,0
Software quality management,Algorithm design,0
Parallel computing,Distributed computing,0
Information management,Analysis of algorithms,0
Computer-aided software engineering,Software architecture,0
Software development,Data structure,0
Parallel computing,Combinatorial optimization,0
Data integration,Theory of computation,0
Software analytics,Modeling language,0
Information security,Compiler construction,0
Software project management,Graphical model,0
Programming language,Natural language processing,0
Algorithm design,Internet protocol suite,0
Algorithm,Information retrieval,0
Test automation,Software analytics,0
Theory of computation,Graphical model,0
Algorithm design,Object-oriented programming,0
Software project management,Cryptography,0
Information security,Broadband networks,0
Theory of computation,Network security,0
Social network analysis,Object-oriented programming,0
Discrete mathematics,Graphical model,0
Software quality management,Software architecture,0
Test automation,Cloud computing,0
Modeling language,Information security,0
Data integration,Cloud computing,0
Knowledge management,Computer-aided software engineering,0
Artificial intelligence,Parallel computing,0
Network service,Software metric,0
Computational linguistics,Database,0
Graphical model,Software engineering,0
Object-oriented programming,Computational linguistics,0
Algorithm,Software testing,0
Graphical model,Software testing,0
Natural language processing,Assembly language,0
Software metric,Programming language,0
Software quality management,Object-oriented programming,0
Computer network,Object-oriented analysis and design,0
Cryptography,Computer vision,0
Network security,Compiler construction,0
Translator (computing),Operating system,0
Cloud computing,Software testing,0
Robotics,Data mining,0
Computer-aided software engineering,Cloud computing,0
Combinatorial optimization,Distributed computing,0
Broadband networks,Object-oriented analysis and design,0
Software quality management,Object-oriented analysis and design,0
Programming language,Computer-aided software engineering,0
Software analytics,Internet protocol suite,0
Computational geometry,Computer security,0
Parallel processing,Compiler construction,0
System programming,Robotics,0
Compiler construction,Data structure,0
Cloud computing,Broadband networks,0
Programming language,Data mining,0
Internet protocol suite,Machine learning,0
Computer architecture,Parallel processing,0
Distributed computing,Data warehouse,0
Data-intensive computing,System programming,0
Translator (computing),Object-oriented design,0
Information retrieval,Modeling language,0
Data warehouse,Information security,0
Data-intensive computing,Analysis of algorithms,0
Computer graphics,Software architecture,0
Parallel processing,Artificial intelligence,0
Cloud computing,Wireless network,0
Translator (computing),Computational geometry,0
Computational linguistics,Theory of computation,0
Information security,Software development,0
Object-oriented design,Translator (computing),0
Data-intensive computing,Assembly language,0
Parallel computing,Computer architecture,0
Software metric,Parallel processing,0
Mobile application development,Translator (computing),0
Parallel processing,Object-oriented programming,0
Software analytics,Robotics,0
Data-intensive computing,Software architecture,0
Software project management,Object-oriented analysis and design,0
Software project management,Test automation,0
Social network analysis,Computer graphics,0
Data structure,Object-oriented programming,0
Compiler construction,Data mining,0
Parallel processing,Data-intensive computing,0
Computer-aided software engineering,Robotics,0
Software development,Cryptography,0
Information retrieval,Object-oriented design,0
Machine learning,Translator (computing),0
Object-oriented design,Wireless network,0
Analysis of algorithms,Object-oriented analysis and design,0
Wireless network,Object-oriented design,0
Database,Graphical model,0
Data warehouse,Data structure,0
Parallel computing,Information security,0
Data mining,Combinatorial optimization,0
Mobile application development,Computational geometry,0
Parallel processing,Robotics,0
Assembly language,Cryptography,0
Discrete mathematics,Software engineering,0
Game theory,Parallel processing,0
Test automation,Computer security,0
Software analytics,Artificial intelligence,0
Computer security,Information retrieval,0
Knowledge management,Assembly language,0
Data mining,Software architecture,0
Combinatorial optimization,Data integration,0
Assembly language,Internet protocol suite,0
Internet protocol suite,Computer security,0
Distributed object,Programming language,0
Computer network,Network service,0
Software quality management,Parallel processing,0
System programming,Software engineering,0
Data warehouse,Translator (computing),0
Computational geometry,Software analytics,0
Distributed computing,Software project management,0
Cryptography,Modeling language,0
Computer graphics,Software quality management,0
Software testing,Broadband networks,0
Graphical model,Combinatorial optimization,0
Network service,Computer architecture,0
Distributed computing,Wireless network,0
Cryptography,Information management,0
Assembly language,Data warehouse,0
Data warehouse,Computer security,0
Test automation,Social network analysis,0
Software engineering,Network security,0
Microarchitecture,Natural language processing,0
Software analytics,Parallel processing,0
Graphical model,Data integration,0
Data structure,Social network analysis,0
Object-oriented design,Broadband networks,0
Algorithm,Information management,0
Information retrieval,Distributed computing,0
Computational geometry,Object-oriented programming,0
Computational linguistics,Graphical model,0
Microarchitecture,Computer graphics,0
Distributed object,Wireless network,0
Information security,Parallel computing,0
Robotics,Mobile application development,0
Knowledge management,Wireless network,0
Parallel computing,Information management,0
Test automation,Cryptography,0
Information security,Mobile application development,0
Information management,Software metric,0
Computer graphics,System programming,0
Programming language,Software development,0
Data-intensive computing,Theory of computation,0
